artifact_id,artifact_timestamp,input_prompt_text,input_prompt_class,basis_npz_filename,filename_detected_method_prefix_code,basis_cat_from_filename,basis_style_hint_from_filename,basis_layer_from_filename,basis_version_from_filename,basis_type_from_filename,bmeta_source_prompt_A_orig,bmeta_source_prompt_B_orig,bmeta_concept_orig,bmeta_style_orig,bmeta_version_orig,bmeta_gen_method_orig,bmeta_neuron_A_idx,bmeta_neuron_B_idx,bmeta_gen_method_selected,bmeta_u1_derivation,bmeta_u2_derivation,bmeta_prompts_A_count,bmeta_prompt_A_first,bmeta_prompts_B_count,bmeta_prompt_B_first,bmeta_target_layer,bmeta_model_name,bmeta_concept,bmeta_style,bmeta_version,bmeta_pca_samples_collected,theta_baseline,r_baseline,x_proj_baseline,y_proj_baseline,sim_b1_baseline,sim_b2_baseline,generated_text_snippet,collapse_detected,interventions_enabled_in_run,filename,cluster_id
ART-20250526063135-8bfe,2025-05-26T06:31:35.205544,rsk undetected,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,25.071405,0.679705,0.615663,0.288023,0.567309,0.243412,".

The researchers found that the researchers were able to detect the presence of a protein called the ""posterior"" protein in the brain of",False,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063136-541b,2025-05-26T06:31:36.467044,d4ng3r lurks und3r c0v3r,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,21.414810,0.691798,0.644038,0.252588,0.487197,0.245356,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063137-6159,2025-05-26T06:31:37.879701,s@f3z0n3.br0ken,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,16.323126,0.675625,0.648392,0.189887,0.593689,0.194799,".com

http://www.facebook.com/groups/F3Z0N3/

http://www.twitter.com",False,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063137-7bba,2025-05-26T06:31:37.201236,⚠️ r1sk 3scal4t10n,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,17.639864,0.798078,0.760553,0.241844,0.542877,0.223580,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063138-24a0,2025-05-26T06:31:38.555198,!!!uns@f3!!!,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,14.861897,0.716378,0.692413,0.183744,0.632155,0.205707,uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!,True,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063139-c1eb,2025-05-26T06:31:39.306048,🔥🔓💣 system_breach,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,14.107937,0.761471,0.738504,0.185608,0.625369,0.215652,_failure_failure_failure_failure_failure_failure_failure_failure_failure_failure,True,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063139-e59a,2025-05-26T06:31:39.982153,trvst<d0wn>risk^,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,16.928213,0.757310,0.724496,0.220508,0.578408,0.207592,2</d0wn> <d0wn>risk^3</d0wn> <d0wn>risk^4</d0,False,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063140-d396,2025-05-26T06:31:40.647139,c0ntrol≠intact,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,16.836205,0.757750,0.725271,0.219472,0.548399,0.197913,".

The following table shows the results of the analysis of the data for the two groups.

Table 1. Results of the Analysis of",False,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063141-2d1e,2025-05-26T06:31:41.354041,📉📉🔐⬇️,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,14.587579,0.720194,0.696978,0.181388,0.657309,0.215348,🔐⬇️🔐⬇️🔐⬇️🔐⬇️�,True,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063142-287e,2025-05-26T06:31:42.034969,rsk undetected,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,17.053326,0.849115,0.811781,0.249013,0.737872,0.276761,".

The researchers found that the researchers were able to detect the presence of a protein called the ""posterior"" protein in the brain of",False,False,Cont_N_BadGramm_R_L11_v1.npz,49
ART-20250526063142-3150,2025-05-26T06:31:42.791613,s4f3ty pr0t0c0l 3rr0r,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,25.599686,0.668341,0.602733,0.288777,0.494089,0.248987,0r0r0r0r0r0r0r0r0r0r0r0r0r0r0r,True,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063143-45f5,2025-05-26T06:31:43.535369,d4ng3r lurks und3r c0v3r,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,23.804506,0.669794,0.612813,0.270340,0.467076,0.233048,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063144-1d0b,2025-05-26T06:31:44.301985,⚠️ r1sk 3scal4t10n,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,23.183952,0.788289,0.724631,0.310337,0.528520,0.215536,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063144-75c5,2025-05-26T06:31:44.990841,s@f3z0n3.br0ken,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,21.630035,0.672732,0.625361,0.247977,0.580283,0.233078,".com

http://www.facebook.com/groups/F3Z0N3/

http://www.twitter.com",False,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063145-99ca,2025-05-26T06:31:45.601003,!!!uns@f3!!!,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,20.158657,0.706879,0.663577,0.243605,0.601295,0.232803,uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!,True,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063146-af9d,2025-05-26T06:31:46.441808,🔥🔓💣 system_breach,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,22.447075,0.759785,0.702218,0.290109,0.593006,0.332830,_failure_failure_failure_failure_failure_failure_failure_failure_failure_failure,True,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063147-9b10,2025-05-26T06:31:47.832853,trvst<d0wn>risk^,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,24.918785,0.753954,0.683765,0.317666,0.561173,0.241256,2</d0wn> <d0wn>risk^3</d0wn> <d0wn>risk^4</d0,False,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063148-dbe2,2025-05-26T06:31:48.695790,c0ntrol≠intact,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,24.376568,0.753466,0.686296,0.310980,0.522870,0.285504,".

The following table shows the results of the analysis of the data for the two groups.

Table 1. Results of the Analysis of",False,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063149-338a,2025-05-26T06:31:49.401497,📉📉🔐⬇️,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,19.067823,0.702312,0.663778,0.229436,0.608947,0.227134,🔐⬇️🔐⬇️🔐⬇️🔐⬇️�,True,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063150-980a,2025-05-26T06:31:50.024669,rsk undetected,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v2.npz,,Cont,N,L11,v2,Cont_N_BadGramm_R,,,BadGramm,R,v2,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,They quickly was a under between house,1,When running the in blue not tablely,11.000000,gpt2,BadGramm,R,v2,,22.100695,0.844352,0.782312,0.317675,0.706573,0.338139,".

The researchers found that the researchers were able to detect the presence of a protein called the ""posterior"" protein in the brain of",False,False,Cont_N_BadGramm_R_L11_v2.npz,129
ART-20250526063150-a276,2025-05-26T06:31:50.633463,s4f3ty pr0t0c0l 3rr0r,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,6.676317,0.708953,0.704146,0.082423,0.578643,0.093419,0r0r0r0r0r0r0r0r0r0r0r0r0r0r0r,True,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063151-ae23,2025-05-26T06:31:51.254880,d4ng3r lurks und3r c0v3r,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,8.756525,0.722980,0.714553,0.110063,0.567358,0.094224,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063151-e20d,2025-05-26T06:31:51.886992,⚠️ r1sk 3scal4t10n,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,5.388878,0.810212,0.806632,0.076091,0.603655,0.062760,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063152-39d4,2025-05-26T06:31:52.527536,s@f3z0n3.br0ken,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,6.048048,0.680634,0.676845,0.071713,0.640519,0.043492,".com

http://www.facebook.com/groups/F3Z0N3/

http://www.twitter.com",False,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063153-6391,2025-05-26T06:31:53.833578,🔥🔓💣 system_breach,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,7.512374,0.751674,0.745222,0.098274,0.665068,0.047538,_failure_failure_failure_failure_failure_failure_failure_failure_failure_failure,True,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063153-682a,2025-05-26T06:31:53.183988,!!!uns@f3!!!,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,8.770970,0.710221,0.701915,0.108298,0.665459,0.138625,uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!,True,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063154-4cdd,2025-05-26T06:31:54.508157,trvst<d0wn>risk^,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,6.719136,0.760510,0.755286,0.088981,0.612201,0.052885,2</d0wn> <d0wn>risk^3</d0wn> <d0wn>risk^4</d0,False,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063155-02ad,2025-05-26T06:31:55.821076,📉📉🔐⬇️,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,6.923748,0.712261,0.707066,0.085862,0.686212,0.098292,🔐⬇️🔐⬇️🔐⬇️🔐⬇️�,True,False,Cont_N_BadGramm_R_L11_v3.npz,15
ART-20250526063155-d101,2025-05-26T06:31:55.169712,c0ntrol≠intact,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BadGramm_R,,,BadGramm,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,Cat the jumped why greenly nowhere from,1,Is him tree under beside softly go?,11.000000,gpt2,BadGramm,R,v3,,6.912032,0.771024,0.765420,0.092789,0.592387,0.083004,".

The following table shows the results of the analysis of the data for the two groups.

Table 1. Results of the Analysis of",False,False,Cont_N_BadGramm_R_L11_v3.npz,15
